id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query
1	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> ASK WHERE { wd:Q187916 wdt:P279* wd:Q349 . } 
 Где:
 wd:Q187916 именуется как ""конные скачки.""
 wdt:P279 именуется как ""подкласс от.""
 wd:Q349 именуется как ""спорт.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Скачки на лошадях - это спорт? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Где:
 wdt:P31 именуется как ""это частный случай понятия.""
 wd:Q131436 именуется как ""игра на специальной доске.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"Какие игры относятся к частному случаю понятия ""игра на специальной доске""?"	Перечислите все игры GMT.	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Где:
 wd:Q51747 именуется как ""Air China.""
 wdt:P113 именуется как ""узловой аэропорт.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какие аэропорты обслуживает авиакомпания Air China 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Какие разработчики у приложения Skype?	Кто разработал скайп	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Где:
 wd:Q51747 именуется как ""Air China.""
 wdt:P113 именуется как ""узловой аэропорт.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какие аэропорты обслуживает авиакомпания Air China 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Какие разработчики у приложения Skype?	Кто создал Скайп?	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Где:
 wd:Q51747 именуется как ""Air China.""
 wdt:P113 именуется как ""узловой аэропорт.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какие аэропорты обслуживает авиакомпания Air China 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Какие разработчики у приложения Skype?	Кто разработал Skype?	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }
3	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE {  <http://www.wikidata.org/entity/Q159> <http://www.wikidata.org/prop/P122> ?q . ?q <http://www.wikidata.org/prop/statement/P122> ?uri . FILTER NOT EXISTS { ?q <http://www.wikidata.org/prop/qualifier/P582> ?x }}  
 Где:
 http://www.wikidata.org/entity/Q159 именуется как ""Россия.""
 http://www.wikidata.org/prop/P122 именуется как ""форма правления.""
 http://www.wikidata.org/prop/statement/P122 именуется как ""форма правления.""
 http://www.wikidata.org/prop/qualifier/P582 именуется как ""дата окончания.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какая политическая система в России? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Где родился Ираклион?	Кто родился в Ираклионе	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }
3	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE {  <http://www.wikidata.org/entity/Q159> <http://www.wikidata.org/prop/P122> ?q . ?q <http://www.wikidata.org/prop/statement/P122> ?uri . FILTER NOT EXISTS { ?q <http://www.wikidata.org/prop/qualifier/P582> ?x }}  
 Где:
 http://www.wikidata.org/entity/Q159 именуется как ""Россия.""
 http://www.wikidata.org/prop/P122 именуется как ""форма правления.""
 http://www.wikidata.org/prop/statement/P122 именуется как ""форма правления.""
 http://www.wikidata.org/prop/qualifier/P582 именуется как ""дата окончания.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какая политическая система в России? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Где родился Ираклион?	Кто был рожден в Гераклионе?	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }
3	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE {  <http://www.wikidata.org/entity/Q159> <http://www.wikidata.org/prop/P122> ?q . ?q <http://www.wikidata.org/prop/statement/P122> ?uri . FILTER NOT EXISTS { ?q <http://www.wikidata.org/prop/qualifier/P582> ?x }}  
 Где:
 http://www.wikidata.org/entity/Q159 именуется как ""Россия.""
 http://www.wikidata.org/prop/P122 именуется как ""форма правления.""
 http://www.wikidata.org/prop/statement/P122 именуется как ""форма правления.""
 http://www.wikidata.org/prop/qualifier/P582 именуется как ""дата окончания.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какая политическая система в России? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Где родился Ираклион?	Какие люди родились в Ираклионе?	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }
4	"Имея следующий SPARQL запрос: PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> SELECT ?value WHERE { wd:Q83459 p:P1352 ?statement . ?statement pq:P459 wd:Q180825 ; ps:P1352 ?value . } ORDER BY DESC(?value) LIMIT 1 
 Где:
 wd:Q83459 именуется как ""сборная Бразилии по футболу.""
 p:P1352 именуется как ""позиция.""
 pq:P459 именуется как ""метод определения.""
 wd:Q180825 именуется как ""Рейтинг сборных ФИФА.""
 ps:P1352 именуется как ""позиция.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какое наименьшее место в рейтинге ФИФА занимала Бразилия? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Где:
 wd:Q177397 именуется как ""Зона 51.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	В какой административно-территориальной единице находится Зона 51?	"В каком штате США находится военная база ""Зона 51"""	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }
4	"Имея следующий SPARQL запрос: PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> SELECT ?value WHERE { wd:Q83459 p:P1352 ?statement . ?statement pq:P459 wd:Q180825 ; ps:P1352 ?value . } ORDER BY DESC(?value) LIMIT 1 
 Где:
 wd:Q83459 именуется как ""сборная Бразилии по футболу.""
 p:P1352 именуется как ""позиция.""
 pq:P459 именуется как ""метод определения.""
 wd:Q180825 именуется как ""Рейтинг сборных ФИФА.""
 ps:P1352 именуется как ""позиция.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Какое наименьшее место в рейтинге ФИФА занимала Бразилия? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Где:
 wd:Q177397 именуется как ""Зона 51.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	В какой административно-территориальной единице находится Зона 51?	В каком штате США находится Зона 51?	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }
5	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q40026> <http://www.wikidata.org/prop/direct/P551> ?uri . ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q515> . } 
 Где:
 http://www.wikidata.org/entity/Q40026 именуется как ""Сильвестр Сталлоне.""
 http://www.wikidata.org/prop/direct/P551 именуется как ""место жительства.""
 http://www.wikidata.org/prop/direct/P31 именуется как ""это частный случай понятия.""
 http://www.wikidata.org/entity/Q515 именуется как ""город.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. В каком городе живет Сильвестр Сталлоне? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Где:
 wd:Q60 именуется как ""Нью-Йорк.""
 wdt:P6 именуется как ""глава правительства.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	 Кто является главой правительства Нью-Йорка?	Кто является мэром Нью-Йорка	ru	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }
